GENEID	F01counts	C01counts	E01counts	G01counts	H01counts	D01counts
ENSG00000010295	4	1621	14	329	3800	1621
ENSG00000010310	68	40	0	31	0	40
ENSG00000010318	274	18	892	654	133	18
ENSG00000010319	0	0	2	0	27	0
ENSG00000010322	712	2867	172	2803	12173	2867
ENSG00000010327	0	0	0	0	0	0
ENSG00000010361	41	652	4	637	0	652
ENSG00000010379	0	0	0	0	0	0
ENSG00000010404	838	982	523	380	1162	982
ENSG00000010438	0	0	0	0	0	0
ENSG00000010539	155	527	0	284	109	527
ENSG00000010610	3643	3492	1866	5374	4337	3492
ENSG00000010626	885	33	0	308	0	33
ENSG00000010671	0	0	0	1	0	0
ENSG00000010704	747	1	1	0	0	1
ENSG00000010803	688	442	0	226	6	442
ENSG00000010810	16350	27549	34303	18384	28673	27549
ENSG00000010818	1035	560	684	696	1421	560
ENSG00000010932	0	0	4	3	0	0
ENSG00000011007	4146	1804	1	911	2699	1804
ENSG00000011009	2228	7341	6	4722	5524	7341
ENSG00000011021	736	327	1	647	6	327
ENSG00000011028	0	2	2	4	5	2
ENSG00000011052	0	0	0	0	0	0
ENSG00000011083	0	1	0	0	0	1
ENSG00000011105	0	158	1	5	0	158
ENSG00000011114	693	1009	1	959	2325	1009
ENSG00000011132	1942	2146	29	2761	3566	2146
ENSG00000011143	2495	284	0	1031	2	284
ENSG00000011198	1051	112	0	16	480	112
ENSG00000011201	0	0	0	0	0	0
ENSG00000011243	5033	1992	1388	2755	5769	1992
ENSG00000011258	1498	2	14	862	0	2
ENSG00000011260	1150	2122	5	2188	1570	2122
ENSG00000011275	1759	4415	23	4475	11622	4415
ENSG00000011295	1975	2433	1	3599	5762	2433
ENSG00000011304	3465	3358	82	5508	2121	3358
ENSG00000011332	0	0	0	0	14	0
ENSG00000011347	0	1	0	0	0	1
ENSG00000011376	100	273	0	923	1	273
ENSG00000011405	65	198	281	490	1749	198
ENSG00000011422	358	311	4	0	0	311
ENSG00000011426	0	0	1	1	1	0
ENSG00000011451	229	781	0	814	7	781
ENSG00000011454	65	78	34	217	16	78
ENSG00000011465	0	0	0	0	0	0
ENSG00000011478	1	2	12	82	1	2
ENSG00000011485	556	998	1	800	192	998
ENSG00000011523	1594	1504	12576	1843	13	1504
ENSG00000011566	1	169	3	287	1562	169
ENSG00000011590	0	0	0	0	13	0
ENSG00000011600	0	0	0	0	0	0
ENSG00000011638	147	215	7	484	0	215
ENSG00000011677	0	0	4	0	0	0
ENSG00000012048	0	0	4	2	0	0
ENSG00000012061	836	1034	0	1318	1451	1034
ENSG00000012124	0	0	0	0	0	0
ENSG00000012171	0	0	0	0	0	0
ENSG00000012174	496	339	0	421	0	339
ENSG00000012211	2319	0	0	491	0	0
ENSG00000012223	0	0	0	0	0	0
